player,damage_round,kdr,headshot,acs,first_bloods,clutches,vandal_phantom,fav_agent,num_matches,clutches_per_game,fb_per_game,ladder_position
devy,147,1.03,33.1,223.4,407,233,0,jett,140,1.664285714,2.907142857,64
C9 katsumi,127,0.99,35.5,188.2,157,197,0,astra,134,1.470149254,1.171641791,65
Virtyy,163,1.15,28,254.4,1097,403,0,jett,253,1.592885375,4.335968379,66
riku,136.8,0.97,18.7,207.5,168,153,1,astra,94,1.627659574,1.787234043,67
Ezire,126.5,0.96,26.6,187.3,142,141,0,astra,100,1.41,1.42,68
FaZe ZachaREEE,133.8,0.97,24,196.6,188,178,1,cypher,123,1.447154472,1.528455285,69
JOnaaa6,150.3,1.18,28.2,227.6,180,106,0,viper,85,1.247058824,2.117647059,70
100T b0i,140.9,1.14,23.3,212.2,213,171,1,astra,137,1.248175182,1.554744526,71
Soba,145.6,1.03,29.4,218.4,225,153,0,astra,107,1.429906542,2.102803738,72
Lear,146.8,1.1,27.6,215.5,422,294,0,sova,249,1.180722892,1.694779116,73
Ivan,150.5,1.15,25.8,230,212,103,0,jett,76,1.355263158,2.789473684,74
Spaz,138.5,1.03,21.8,204.9,172,164,1,astra,111,1.477477477,1.54954955,75
Rise Shanks,165,1.11,20,259.4,778,346,1,jett,204,1.696078431,3.81372549,76
diceyzx,163.8,1.19,36.8,240.7,386,244,0,skye,161,1.51552795,2.397515528,77
Twitch Phanes,149.2,1.08,24.3,229.5,502,248,0,jett,180,1.377777778,2.788888889,78
TSM FTX WARDELL,172.4,1.43,25,272.5,361,122,1,jett,89,1.370786517,4.056179775,79
BAZIX,160.4,1.05,25.3,241.4,245,126,0,reyna,70,1.8,3.5,80
XSET AYRIN,146.6,1.11,20.6,222.9,155,109,1,jett,71,1.535211268,2.183098592,81
WhoFramedMe,148.6,1.19,33.4,225.5,330,172,0,reyna,130,1.323076923,2.538461538,82
OneSnipeKO,148.8,1.12,31.3,221.5,252,181,0,reyna,122,1.483606557,2.06557377,83
sacred,150.2,1.02,30.8,229.3,447,207,0,reyna,137,1.510948905,3.262773723,84
clear,171.8,1.26,33.9,266.1,403,168,0,reyna,123,1.365853659,3.276422764,85
slpperyseal16,146.9,1.11,30.8,212.7,152,176,0,sova,127,1.385826772,1.196850394,86
jovahnii,158.4,1.09,26.1,236,217,148,0,sova,104,1.423076923,2.086538462,87
NELPY,122.7,0.83,23.8,185.9,376,299,0,astra,179,1.670391061,2.100558659,88
yiinel,140.6,1.06,28.5,209.6,149,113,0,astra,91,1.241758242,1.637362637,89
PROD,143.8,0.93,23.9,222,1080,491,0,jett,300,1.636666667,3.6,90
T1 Sayaplayer,153.3,1.17,28.8,230.1,240,107,0,jett,81,1.320987654,2.962962963,91
LG moose,147.4,1.15,26.2,218.8,266,183,1,sova,168,1.089285714,1.583333333,92
stunna,140.9,1.02,33.5,215.7,317,202,0,jett,124,1.629032258,2.556451613,93
xprt,147.2,1.07,28.4,216.7,335,191,0,jett,140,1.364285714,2.392857143,94
miniature,144.9,1.09,26.9,216.7,292,203,0,astra,136,1.492647059,2.147058824,95
COL brawk,146.7,1,26.1,210.9,154,144,0,sova,106,1.358490566,1.452830189,96
sugarfree,147.9,1.08,26.8,225.8,308,189,0,jett,129,1.465116279,2.387596899,97
Favio,144.9,1.05,28.5,217.5,363,239,0,jett,159,1.503144654,2.283018868,98
Gameface,137.7,1.06,25.5,202.8,263,203,0,sage,152,1.335526316,1.730263158,99
PureVNS,142.3,1.04,29.2,209.8,536,337,0,viper,274,1.229927007,1.95620438,100
